Campaign,Channel,Budget_USD,Impressions,Clicks,Conversions,Revenue_USD,CTR,Conv_Rate,ROI_Pct
Spring Sale,Facebook,2000,150000,4500,180,9000,3.0,4.0,350.0
Spring Sale,Google,3000,200000,8000,320,16000,4.0,4.0,433.3
Spring Sale,Email,500,25000,3750,225,11250,15.0,6.0,2150.0
Summer Promo,Facebook,2500,180000,3600,108,5400,2.0,3.0,116.0
Summer Promo,Google,3500,250000,10000,350,17500,4.0,3.5,400.0
Summer Promo,Instagram,1500,120000,4800,144,7200,4.0,3.0,380.0
Summer Promo,Email,400,20000,3000,180,9000,15.0,6.0,2150.0
Back to School,Facebook,1800,130000,5200,260,13000,4.0,5.0,622.2
Back to School,Google,2800,190000,7600,380,19000,4.0,5.0,578.6
Back to School,TikTok,1200,300000,9000,180,9000,3.0,2.0,650.0
Black Friday,Facebook,5000,400000,16000,800,40000,4.0,5.0,700.0
Black Friday,Google,6000,350000,14000,700,35000,4.0,5.0,483.3
Black Friday,Email,800,40000,8000,560,28000,20.0,7.0,3400.0
Black Friday,Instagram,3000,250000,7500,300,15000,3.0,4.0,400.0
Holiday Season,Facebook,4000,320000,12800,512,25600,4.0,4.0,540.0
Holiday Season,Google,5500,300000,12000,480,24000,4.0,4.0,336.4
Holiday Season,Email,700,35000,7000,420,21000,20.0,6.0,2900.0
Holiday Season,TikTok,2000,500000,15000,300,15000,3.0,2.0,650.0
New Year,Facebook,3000,220000,6600,264,13200,3.0,4.0,340.0
New Year,Google,4000,280000,11200,448,22400,4.0,4.0,460.0
